Date,Amount (Nfk),Vendor,Category,Department,Description
2024-01-04,8700,FuelOne,Transport,Logistics,Truck diesel refill
2024-01-04,8700,FuelOne,HR,HR,Possible miscategory?
2024-01-05,23800,StarOffice Supplies,Admin,Admin,Yearly paper stock
2024-01-06,120000,Unknown Vendor,Operations,Engineering,?
2024-01-07,4300,Eritrea Telecom,Internet,Admin,Monthly fiber bill
2024-01-07,4300,Eritrea Telecom,Internet,Admin,Duplicate?
2024-01-08,1500,EriSnacks,Entertainment,HR,Tea & biscuits
2024-01-10,125000,FuelOne,Transport,Logistics,Large fuel order
2024-01-10,95000,FuelOne,Transport,Logistics,Overlapping with above?
2024-01-11,7000,AirEri Travel,Travel,Field,Flight to Massawa